gene_id	median_absolute_deviation
1362	1722.1010636958622
58473	1721.0131675467017
23158	1717.9214395931874
1803	1714.8930756360685
57758	1713.5032229942676
7036	1712.3169466206534
518	1711.8835898601817
694	1710.3510333271872
23224	1709.9485203368592
23250	1709.5140303095181
2091	1708.5588833075835
6415	1708.0139956651994
5211	1706.2431361204376
5209	1704.8057519631266
10221	1704.3850966983077
5764	1703.9890392430887
9620	1701.5361664242282
10857	1701.4714222640305
7879	1700.801219520742
22928	1700.4316230811985
4118	1700.057286687241
55740	1698.6782991763796
2674	1698.569918584309
9612	1698.4658067685796
51079	1698.463475648468
21	1697.6489987091245
6770	1696.161202475892
126	1694.3239339849429
6774	1692.2491365160658
23787	1691.0611765563492
2280	1689.6812154469992
23215	1688.3188617227845
23532	1683.0924119437157
51635	1682.7939179255372
1968	1682.7822635056814
112399	1681.7261509113705
79098	1678.2635176418712
4940	1674.269992380251
6272	1674.2667867534035
64093	1673.9450177476683
3148	1673.9282723392105
10276	1672.8976741165084
22827	1672.4936478425523
10205	1671.4259835064622
56892	1670.3221339234522
79870	1666.0267641844719
64129	1666.003461107205
7381	1665.6153016010794
4008	1665.1145450761144
9123	1664.6730016476747
3838	1663.9935798929152
7922	1661.5114622782075
2153	1660.3027648946115
8985	1658.8784308042793
1350	1657.6229836749199
